epoch,step,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
19,979,,,0.2029999941587448,0.2029999941587448,3.2023894786834717
20,989,0.1943359375,3.2327232360839844,,,
20,999,0.1826171875,3.3172109127044678,,,
20,1009,0.185546875,3.3109536170959473,,,
20,1019,0.185546875,3.321355104446411,,,
20,1028,,,0.2062000036239624,0.2062000036239624,3.2215869426727295
21,1029,0.1962890625,3.246037721633911,,,
21,1039,0.189453125,3.3297998905181885,,,
21,1049,0.220703125,3.2340192794799805,,,
21,1059,0.2138671875,3.206306219100952,,,
21,1069,0.1806640625,3.417804002761841,,,
21,1077,,,0.21240000426769257,0.21240000426769257,3.1771233081817627
22,1079,0.1845703125,3.2748122215270996,,,
22,1089,0.1904296875,3.334962844848633,,,
22,1099,0.197265625,3.3351380825042725,,,
22,1109,0.208984375,3.219454765319824,,,
